company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
Lagardère Sports,Lagardère Sports,1.0,.,94043,Boulogne-Billancourt,France,{'Lagardère Sports': '.'},{'Lagardère Sports': '94043'},{'Lagardère Sports': 'Boulogne-Billancourt'},{'Lagardère Sports': 'France'}
Lagardère Sports,Lagardère Sports,1.0,.,94043,Boulogne-Billancourt,France,{'Lagardère Sports': '.'},{'Lagardère Sports': '94043'},{'Lagardère Sports': 'Boulogne-Billancourt'},{'Lagardère Sports': 'France'}
Delpeyrat,Delpeyrat,1.0000000000000002,"ZA LA TÉOULÈRE, B.P. 229, CEDEX",40282,Saint-Pierre-du-Mont,France,"ZA LA TÉOULÈRE, B.P. 229, CEDEX",40282,Saint-Pierre-du-Mont,France
42 Artificial Intelligence,42 Artificial Intelligence,1.0000000000000002,,,Paris,France,,,Paris,France
LeasePlan Corporation,LeasePlan Corporation,1.0000000000000002,{'LeasePlan Corporation': '41 P.J. Oudweg'},{'LeasePlan Corporation': '1314CJ'},{'LeasePlan Corporation': 'Almere'},{'LeasePlan Corporation': 'Netherlands'},{'LeasePlan Corporation': '41 P.J. Oudweg'},{'LeasePlan Corporation': '1314CJ'},{'LeasePlan Corporation': 'Almere'},{'LeasePlan Corporation': 'Netherlands'}
Air Liquide,Air Liquide,1.0,"{'Air Liquide': '75 Quai D Orsay, Paris Cedex 07'}",{'Air Liquide': '77024'},{'Air Liquide': 'Paris'},{'Air Liquide': 'France'},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''}
Legalstart,Legalstart,1.0000000000000002,50 Rue d'Hauteville,75010,Paris,France,50 Rue d'Hauteville,75010,Paris,France
Airswift,Airswift,1.0000000000000002,3050 POST OAK BLVD,77056,Houston,United States,3050 Post Oak Blvd.,77056,Houston,United States
MAZARS,MAZARS,1.0,{'MAZARS': '61 Rue Henri Regnault'},{'MAZARS': '92075'},{'MAZARS': 'Courbevoie'},{'MAZARS': 'France'},61 Rue Henri Regnault,92075,Courbevoie,France
Talan,Talan,1.0,"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''},"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''}
Talan,Talan,1.0,"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''},"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''}
Talan,Talan,1.0,"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''},"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''}
Talan,Talan,1.0,"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''},"{'Talan': ""21 Rue Dumont d'Urville""}",{'Talan': '75016'},{'Talan': 'Paris'},{'Talan': ''}
Asco,ASCO,1.0,,,,,,,,
Bordeaux,Bordeaux,1.0000000000000002,48 RUE VITAL CARLES,33000,Bordeaux,France,48 Rue Vital Carles,33000,Bordeaux,France
Caissin,Caissin,1.0,73 BOULEVARD DE GRENELLE,75015,Paris,France,73 Boulevard de Grenelle,75015,Paris,France
Effilab,Effilab,1.0000000000000002,{'Effilab': ''},{'Effilab': ''},{'Effilab': 'Boulogne-Billancourt'},{'Effilab': 'France'},{'Effilab': '54 Avenue du Général Leclerc'},{'Effilab': '92100'},{'Effilab': 'Boulogne-Billancourt'},{'Effilab': 'France'}
Effilab,Effilab,1.0000000000000002,{'Effilab': ''},{'Effilab': ''},{'Effilab': 'Boulogne-Billancourt'},{'Effilab': 'France'},{'Effilab': '54 Avenue du Général Leclerc'},{'Effilab': '92100'},{'Effilab': 'Boulogne-Billancourt'},{'Effilab': 'France'}
"Information Resources, Inc.","Information Resources, Inc.",1.0,150 N CLINTON ST,60661,Chicago,United States,150 N CLINTON ST,60661,Chicago,United States
FABERNOVEL,FABERNOVEL,1.0,{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': '17 Rue du Faubourg du Temple'},{'FABERNOVEL': '75010'},{'FABERNOVEL': 'Paris'},{'FABERNOVEL': 'France'}
FABERNOVEL,FABERNOVEL,1.0,{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': ''},{'FABERNOVEL': '17 Rue du Faubourg du Temple'},{'FABERNOVEL': '75010'},{'FABERNOVEL': 'Paris'},{'FABERNOVEL': 'France'}
El Corte Ingles Seguros,El Corte Ingles Seguros,1.0,112 Calle de Hermosilla,28009,Madrid,Spain,112 Calle de Hermosilla,28009,Madrid,Spain
Groupe Pomona,Groupe Pomona,1.0000000000000002,{'Groupe Pomona': '3 Avenue du Docteur Ténine'},{'Groupe Pomona': '92160'},{'Groupe Pomona': 'Antony'},{'Groupe Pomona': 'France'},3 Avenue du Docteur Ténine,92160,Antony,France
Radley College,Radley College,1.0,RADLEY COLLEGE,OX14 2HR,Abingdon,United Kingdom,RADLEY COLLEGE,OX14 2HR,Abingdon,United Kingdom
Université Paris-Saclay,Université Paris-Saclay,1.0000000000000002,,,,France,,,,France
GO Sport France,GO Sport France,1.0000000000000002,{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'Sassenage'},{'GO Sport France': 'France'},{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'SASSENAGE'},{'GO Sport France': 'France'}
GO Sport France,GO Sport France,1.0000000000000002,{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'Sassenage'},{'GO Sport France': 'France'},{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'SASSENAGE'},{'GO Sport France': 'France'}
GO Sport France,GO Sport France,1.0000000000000002,{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'Sassenage'},{'GO Sport France': 'France'},{'GO Sport France': '17 AVENUE DE LA FALAISE'},{'GO Sport France': '38360'},{'GO Sport France': 'SASSENAGE'},{'GO Sport France': 'France'}
Pricemoov,Pricemoov,1.0,,75002,Paris,France,,75002,Paris,France
Mediatice,Mediatice,1.0,183 Route du Chaffard,38630,Les Avenières,France,183 Route du Chaffard,38630,Les Avenières,France
sodiaal union,sodiaal union,1.0000000000000002,"1 Rue des Italiens, Paris, Île-de-France, France, 75009",75009,Paris,France,"1 Rue des Italiens, Paris, Île-de-France, France, 75009",75009,Paris,France
SOCOTEC France,SOCOTEC France,1.0000000000000002,,18001,,France,,18001,,France
SOCOTEC France,Socotec France,1.0000000000000002,,18001,,France,,18001,,France
NRJ,NRJ,1.0000000000000002,"{'NRJ': '22 Rue Boileau, Paris, Île-de-France, France, 75016'}",{'NRJ': '75016'},{'NRJ': 'Paris'},{'NRJ': 'France'},22 RUE BOILEAU,75009,Paris,France
Algolia,Algolia,1.0000000000000002,{'Algolia': ''},{'Algolia': ''},{'Algolia': ''},{'Algolia': ''},{'Algolia': ''},{'Algolia': ''},{'Algolia': 'Paris'},{'Algolia': 'France'}
AUDITOIRE,AUDITOIRE,1.0000000000000002,44 Rue Copernic,75116,Paris,France,44 Rue Copernic,75116,Paris,France
PYCOGROUP,PYCOGROUP,1.0,{'PYCOGROUP': '523 Avenue Louise'},{'PYCOGROUP': '1050'},{'PYCOGROUP': 'Bruxelles'},{'PYCOGROUP': 'Belgium'},523 Avenue Louise,1050,Bruxelles,Belgium
42 Consulting Groupe,42 Consulting Groupe,1.0000000000000002,2 Avenue Foch,94160,Saint-Mandé,France,2 Avenue Foch,94160,Saint-Mandé,France
Club Med,Club Med,1.0000000000000002,{'Club Med': '75 Valencia Ave Fl 12'},{'Club Med': '97180'},{'Club Med': ''},{'Club Med': 'France'},"{'Club Med': 'Bâtiment 25, Le Parc Icade, 11 Rue de Cambrai, 75019 Paris'}",{'Club Med': '75019'},{'Club Med': 'Paris'},{'Club Med': 'France'}
Club Med,Club Med,1.0000000000000002,{'Club Med': '75 Valencia Ave Fl 12'},{'Club Med': '97180'},{'Club Med': ''},{'Club Med': 'France'},"{'Club Med': 'Bâtiment 25, Le Parc Icade, 11 Rue de Cambrai, 75019 Paris'}",{'Club Med': '75019'},{'Club Med': 'Paris'},{'Club Med': 'France'}
MacAnders,MacAnders,1.0000000000000002,3 Avenue Bertie Albrecht,75008,Paris,France,3 Avenue Bertie Albrecht,75008,Paris,France
KIABI,KIABI,1.0000000000000002,{'KIABI': ''},{'KIABI': ''},{'KIABI': ''},{'KIABI': 'France'},{'KIABI': '100 Rue du Calvaire'},{'KIABI': '59510'},{'KIABI': 'Hem'},{'KIABI': 'France'}
KIABI,KIABI,1.0000000000000002,{'KIABI': ''},{'KIABI': ''},{'KIABI': ''},{'KIABI': 'France'},{'KIABI': '100 Rue du Calvaire'},{'KIABI': '59510'},{'KIABI': 'Hem'},{'KIABI': 'France'}
KIABI,KIABI,1.0000000000000002,{'KIABI': ''},{'KIABI': ''},{'KIABI': ''},{'KIABI': 'France'},{'KIABI': '100 Rue du Calvaire'},{'KIABI': '59510'},{'KIABI': 'Hem'},{'KIABI': 'France'}
Maximo SAS,Maximo SAS,1.0000000000000004,"AVENUE DES POILUS, ESPACE JARDIN FONTAINE",55840,Thierville-sur-Meuse,France,"AVENUE DES POILUS, ESPACE JARDIN FONTAINE",55840,Thierville-sur-Meuse,France
Student Loans Company,Student Loans Company,1.0,100 Bothwell Street,G2 7JD,Glasgow,United Kingdom,{'Student Loans Company': '100 Bothwell Street'},{'Student Loans Company': 'G2 7JD'},{'Student Loans Company': 'Glasgow'},{'Student Loans Company': 'United Kingdom'}
Student Loans Company,Student Loans Company,1.0,100 Bothwell Street,G2 7JD,Glasgow,United Kingdom,{'Student Loans Company': '100 Bothwell Street'},{'Student Loans Company': 'G2 7JD'},{'Student Loans Company': 'Glasgow'},{'Student Loans Company': 'United Kingdom'}
Jifmar Offshore Services,Jifmar Offshore Services,1.0,120 AVENUE NAPOLEON BONAPARTE,13100,AIX EN PROVENCE,France,120 AVENUE NAPOLEON BONAPARTE,13100,Aix En Provence,France
Vienna House,Vienna House,1.0,87 Dresdner Straße,1200,Wien,Austria,87 Dresdner Straße,1200,Wien,Austria
Oxford Instruments,Oxford Instruments,1.0,{'Oxford Instruments': 'Tubney Woods'},{'Oxford Instruments': 'OX13 5QX'},{'Oxford Instruments': 'Abingdon'},{'Oxford Instruments': 'United Kingdom'},Tubney Woods,OX13 5QX,Abingdon,United Kingdom
ID Logistics,ID Logistics,1.0000000000000002,Z.I. LES LONGS RÉAGES,28700,Beville Le Comte,France,"{'ID Logistics': '410, ROUTE DU MOULIN DE LOSQUE'}",{'ID Logistics': '13660'},{'ID Logistics': 'Cavaillon'},{'ID Logistics': 'France'}
OCTO Technology,OCTO Technology,1.0,"Paris, Île-de-France, France",75002,Paris,France,{'OCTO Technology': '30 Dukes Place'},{'OCTO Technology': '75002'},{'OCTO Technology': 'Paris'},{'OCTO Technology': 'France'}
Meetic,Meetic,1.0,"{'Meetic': 'Rue Auber, Paris, Île-de-France, France, 75009'}",{'Meetic': '75009'},{'Meetic': 'Paris'},{'Meetic': 'France'},"Rue Auber, Paris, Île-de-France, France, 75009",75009,Paris,France
Sonovision Group,Sonovision Group,1.0000000000000002,160 avenue Aristide Briand,92220,BAGNEUX,France,160 Avenue Aristide Briand,92220,Bagneux,France
Mibelle Group,Mibelle Group,1.0000000000000002,1 Bolimattstrasse,5033,Buchs,Switzerland,1 Bolimattstrasse,5033,Buchs,Switzerland
lonlay-finance.fr,lonlay-finance.fr,1.0000000000000002,,,,France,,,,France
CITADIUM,CITADIUM,1.0000000000000002,56 Rue de Caumartin,75009,Paris-9E-Arrondissement,France,56 Rue de Caumartin,75009,Paris-9E-Arrondissement,France
Procsea SA,Procsea SA,1.0,3 Avenue Germaine Tillion,35136,Saint-Jacques-de-la-Lande,France,3 Avenue Germaine Tillion,35136,Saint-Jacques-de-la-Lande,France
Groupe Berto,Groupe Berto,1.0,{'Groupe Berto': ''},{'Groupe Berto': ''},{'Groupe Berto': ''},{'Groupe Berto': 'France'},{'Groupe Berto': ''},{'Groupe Berto': ''},{'Groupe Berto': ''},{'Groupe Berto': ''}
Pernod Ricard,Pernod Ricard,1.0000000000000002,{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''}
Pernod Ricard,PERNOD RICARD,1.0000000000000002,{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'PERNOD RICARD': ''},{'PERNOD RICARD': ''},{'PERNOD RICARD': ''},{'PERNOD RICARD': ''}
Pernod Ricard,Pernod Ricard,1.0000000000000002,{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''},{'Pernod Ricard': ''}
Ravensburger,Ravensburger,1.0000000000000002,1 Puzzle Lane,03858,Newton,United States,1 Puzzle Lane,03858,Newton,United States
Maranatha (Groupe),Groupe Maranatha,1.0,148 Traverse de la Martine,13012,Marseille,France,148 Traverse de la Martine,13012,Marseille,France
TUNE,TUNE,1.0000000000000002,2200 Western Avenue,98121,Seattle,United States,2200 Western Avenue,98121,Seattle,United States
Dentsu Aegis Network,Dentsu Aegis Network,1.0,{'Dentsu Aegis Network': ''},{'Dentsu Aegis Network': ''},{'Dentsu Aegis Network': ''},{'Dentsu Aegis Network': ''},{'Dentsu Aegis Network': '2 Triton Square'},{'Dentsu Aegis Network': 'NW1 3HF'},{'Dentsu Aegis Network': 'London'},{'Dentsu Aegis Network': 'United Kingdom'}
Capio,Capio,1.0,5 Lilla Bommen,41104,Göteborg,Sweden,5 Lilla Bommen,41104,Göteborg,Sweden
BROTHER FRANCE,BROTHER FRANCE,1.0,165 Avenue du Bois de la Pie,95913,Roissy-en-France,France,{'BROTHER FRANCE': ''},{'BROTHER FRANCE': ''},{'BROTHER FRANCE': ''},{'BROTHER FRANCE': ''}
SKEMA Business School,SKEMA Business School,1.0000000000000002,{'SKEMA Business School': 'Avenue Willy Brandt'},{'SKEMA Business School': '06902'},{'SKEMA Business School': 'Lille'},{'SKEMA Business School': 'France'},Avenue Willy Brandt,06902,Lille,France
Worldline,Worldline,1.0000000000000002,80 Quai Voltaire,95870,Bezons,France,80 Quai Voltaire,95870,Bezons,France
API Restauration,API Restauration,1.0,384 Rue du Général de Gaulle,59370,Mons-en-Barœul,France,384 Rue du Général de Gaulle,59370,Mons-en-Barœul,France
L'Assurance retraite,L'Assurance retraite,1.0,"{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": 'France'}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": '75951'}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": 'France'}"
L'Assurance retraite,L'Assurance retraite,1.0,"{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": 'France'}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": '75951'}","{""L'Assurance retraite"": ''}","{""L'Assurance retraite"": 'France'}"
Michel Creuzot,Michel Creuzot,1.0000000000000002,,45500,Gien,France,,45500,Gien,France
Good Goût,Good Goût,1.0,33 Rue des Jeuneurs,75002,Paris,France,33 Rue des Jeuneurs,75002,Paris,France
Mydral,MYDRAL,1.0000000000000002,18 Rue Pasquier,75008,Paris,France,{'MYDRAL': '18 Rue Pasquier'},{'MYDRAL': '75008'},{'MYDRAL': 'Paris'},{'MYDRAL': 'France'}
Mydral,MYDRAL,1.0000000000000002,18 Rue Pasquier,75008,Paris,France,{'MYDRAL': '18 Rue Pasquier'},{'MYDRAL': '75008'},{'MYDRAL': 'Paris'},{'MYDRAL': 'France'}
HSBC,HSBC,1.0000000000000002,{'HSBC': '103 Avenue des Champs-Élysées'},{'HSBC': '75419'},{'HSBC': 'Paris'},{'HSBC': 'France'},{'HSBC': ''},{'HSBC': ''},{'HSBC': ''},{'HSBC': ''}
CO-EFFICIENCE,CO-EFFICIENCE,1.0000000000000002,269 Rue Duguesclin,69160,Lyon,France,269 Rue Duguesclin,69160,Lyon,France
Alcyon,Alcyon,1.0000000000000002,27 Rue Damesme,75013,Paris,France,27 Rue Damesme,75013,Paris,France
Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,1.0000000000000002,"RUE DU CHÂTEAU D'EAU, N. 61",33076,Paris,France,"RUE DU CHÂTEAU D'EAU, N. 61",33076,Paris,France
Gérard Bertrand,Gérard Bertrand,1.0,ROUTE DE NARBONNE PLAGE,31170,Narbonne,France,ROUTE DE NARBONNE PLAGE,31170,Narbonne,France
Enercoop,Enercoop,1.0,{'Enercoop': '18 Quai de la Loire'},{'Enercoop': '75019'},{'Enercoop': 'Paris'},{'Enercoop': 'France'},{'Enercoop': ''},{'Enercoop': ''},{'Enercoop': 'Paris'},{'Enercoop': 'France'}
wavy.fr,wavy.fr,1.0000000000000002,34A Rue des Vinaigriers,75010,Paris,France,34A Rue des Vinaigriers,75010,Paris,France
Renault,Renault,1.0000000000000002,"{'Renault': '13 Quai Alphonse Le Gallo, 92100 BOULOGNE BILLANCOURT'}",{'Renault': '92100'},{'Renault': 'Boulogne-Billancourt'},{'Renault': 'France'},{'Renault': ''},{'Renault': ''},{'Renault': ''},{'Renault': ''}
Allianz,Allianz,1.0,{'Allianz': ''},{'Allianz': ''},{'Allianz': ''},{'Allianz': ''},28 Königinstraße,80802,München,Germany
Oil & Gas UK,Oil & Gas UK,1.0,6TH FLOOR EAST,SW1E 5BH,London,United Kingdom,6TH FLOOR EAST,SW1E 5BH,London,United Kingdom
Otelo,Otelo,1.0000000000000002,11 Avenue du Fief,95310,Saint-Ouen-l'Aumône,France,11 Avenue du Fief,95310,Saint-Ouen-l'Aumône,France
World Med Assistance,World Med Assistance,1.0000000000000002,111 Avenue Victor Hugo,75784,Paris,France,111 Avenue Victor Hugo,75784,Paris,France
Tharios,Tharios,1.0,RPT BENJAMIN FRANKLIN,34960,Montpellier,France,RPT BENJAMIN FRANKLIN,34960,Montpellier,France
Cinaps,CINAPS,1.0,62 Avenue du Général Leclerc,78230,Le Pecq,France,62 Avenue du Général Leclerc,78230,Le Pecq,France
SanteVet,SanteVet,1.0,{'SanteVet': '59 Rue de Créqui'},{'SanteVet': '69006'},{'SanteVet': 'Lyon'},{'SanteVet': 'France'},{'SanteVet': '59 Rue de Créqui'},{'SanteVet': '69006'},{'SanteVet': 'Lyon'},{'SanteVet': 'France'}
SanteVet,SanteVet,1.0,{'SanteVet': '59 Rue de Créqui'},{'SanteVet': '69006'},{'SanteVet': 'Lyon'},{'SanteVet': 'France'},{'SanteVet': '59 Rue de Créqui'},{'SanteVet': '69006'},{'SanteVet': 'Lyon'},{'SanteVet': 'France'}
IPLine,IPLine,1.0,189 Chemin du Bac À Traille,69300,Caluire-et-Cuire,France,189 Chemin du Bac À Traille,69300,Caluire-et-Cuire,France
Arval,Arval,1.0,22 Rue des Deux Gares,92564,Rueil-Malmaison,France,22 Rue des Deux Gares,92564,Rueil-Malmaison,France
QuiToque,QuiToque,1.0000000000000002,{'QuiToque': '26 RUE NOTRE DAME DE NAZARETH'},{'QuiToque': '75003'},{'QuiToque': 'Paris'},{'QuiToque': 'France'},26 RUE NOTRE DAME DE NAZARETH,75003,Paris,France
Millesima SA,Millesima Sa,1.0,87 Quai de Paludate,33800,Bordeaux,France,87 Quai de Paludate,33800,Bordeaux,France
KPMG Crimsonwing,KPMG Crimsonwing,1.0,15 Canada Square,E14 5GL,London,United Kingdom,15 Canada Square,E14 5GL,London,United Kingdom
Brown Brothers Harriman,Brown Brothers Harriman,1.0,{'Brown Brothers Harriman': '140 Broadway'},{'Brown Brothers Harriman': '10005'},{'Brown Brothers Harriman': 'New York'},{'Brown Brothers Harriman': 'United States'},{'Brown Brothers Harriman': ''},{'Brown Brothers Harriman': ''},{'Brown Brothers Harriman': ''},{'Brown Brothers Harriman': ''}
TRAXENS,TRAXENS,1.0,2 Rue Marc Donadille,13013,Marseille,France,2 Rue Marc Donadille,13013,Marseille,France
TRAXENS,Traxens,1.0,2 Rue Marc Donadille,13013,Marseille,France,2 Rue Marc Donadille,13013,Marseille,France
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
France Télévisions,France Télévisions,1.0,{'France Télévisions': '7 Esplanade Henri France'},{'France Télévisions': '75015'},{'France Télévisions': 'Paris'},{'France Télévisions': 'France'},{'France Télévisions': '7 Esplanade Henri France'},{'France Télévisions': '75015'},{'France Télévisions': 'Paris'},{'France Télévisions': 'France'}
Air Liquide,Air Liquide,1.0,"{'Air Liquide': '75 Quai D Orsay, Paris Cedex 07'}",{'Air Liquide': '77024'},{'Air Liquide': 'Paris'},{'Air Liquide': 'France'},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''}
Air Liquide,Air Liquide,1.0,"{'Air Liquide': '75 Quai D Orsay, Paris Cedex 07'}",{'Air Liquide': '77024'},{'Air Liquide': 'Paris'},{'Air Liquide': 'France'},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''},{'Air Liquide': ''}
Air Liquide,AIR LIQUIDE,1.0,"{'Air Liquide': '75 Quai D Orsay, Paris Cedex 07'}",{'Air Liquide': '77024'},{'Air Liquide': 'Paris'},{'Air Liquide': 'France'},,,,
LANVIN,LANVIN,1.0000000000000002,"{'LANVIN': '75001 Paris, France'}",{'LANVIN': '75008'},{'LANVIN': 'Paris-8E-Arrondissement'},{'LANVIN': 'France'},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''}
LANVIN,LANVIN,1.0000000000000002,"{'LANVIN': '75001 Paris, France'}",{'LANVIN': '75008'},{'LANVIN': 'Paris-8E-Arrondissement'},{'LANVIN': 'France'},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''}
LANVIN,LANVIN,1.0000000000000002,"{'LANVIN': '75001 Paris, France'}",{'LANVIN': '75008'},{'LANVIN': 'Paris-8E-Arrondissement'},{'LANVIN': 'France'},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''},{'LANVIN': ''}
Exton Consulting,Exton Consulting,1.0000000000000002,25 Rue Balzac,75008,Paris,France,25 Rue Balzac,75008,Paris,France
CCLD Recrutement,CCLD Recrutement,1.0000000000000002,200 Avenue Jean Jaurès,69007,Lyon,France,200 Avenue Jean Jaurès,69007,Lyon,France
