Company,Website_x,Telephone_x,Adresse,Zip,City,Country,combined_attributes_x,Website_y,Telephone_y,combined_attributes_y
LOGIC DESIGN,logic-design.com,33 1 46 04 88 04,221 Boulevard Jean Jaurès,92100,Boulogne-Billancourt,France,LOGIC DESIGN 221 Boulevard Jean Jaurès 92100 Boulogne-Billancourt France,logic-design.com,33 1 46 04 88 04,LOGIC DESIGN 221 Boulevard Jean Jaurès 92100 Boulogne-Billancourt France
ARONDOR,arondor.com,33171182100,22 Rue de la Pépinière,75008,Paris,France,ARONDOR 22 Rue de la Pépinière 75008 Paris France,arondor.com,33171182100,ARONDOR 22 Rue de la Pépinière 75008 Paris France
IMM International,imm-international.com,,80 Rue Montmartre,75002,Paris,France,IMM International 80 Rue Montmartre 75002 Paris France,imm-international.com,,IMM International 80 Rue Montmartre 75002 Paris France
Work4 Labs Inc.,work4labs.com,877-509-0403,735 Market St,94103,San Francisco,United States,Work4 Labs Inc. 735 Market St 94103 San Francisco United States,work4labs.com,877-509-0403,Work4 Labs Inc. 735 Market St 94103 San Francisco United States
Firerank,firerank.com,,,63000,Clermont-Ferrand,France,Firerank  63000 Clermont-Ferrand France,firerank.com,,Firerank  63000 Clermont-Ferrand France
ActiveEon,activeeon.com,+33 9 88 77 76 60,2000 Route des Lucioles,06560,Sophia Antipolis,France,ActiveEon 2000 Route des Lucioles 06560 Sophia Antipolis France,activeeon.com,+33 9 88 77 76 60,ActiveEon 2000 Route des Lucioles 06560 Sophia Antipolis France
Orange,orange.com,+33 1 44 44 22 22,78 Rue Olivier de Serres,75015,Paris,France,Orange 78 Rue Olivier de Serres 75015 Paris France,orange.com,+33 1 44 44 22 22,Orange 78 Rue Olivier de Serres 75015 Paris France
Orange,orange.com,+33 1 44 44 22 22,78 Rue Olivier de Serres,75015,Paris,France,Orange 78 Rue Olivier de Serres 75015 Paris France,www.orange.com,+33 1 44 44 22 22,Orange 78 Rue Olivier de Serres 75015 Paris France
Orange,www.orange.com,+33 1 44 44 22 22,78 Rue Olivier de Serres,75015,Paris,France,Orange 78 Rue Olivier de Serres 75015 Paris France,orange.com,+33 1 44 44 22 22,Orange 78 Rue Olivier de Serres 75015 Paris France
Orange,www.orange.com,+33 1 44 44 22 22,78 Rue Olivier de Serres,75015,Paris,France,Orange 78 Rue Olivier de Serres 75015 Paris France,www.orange.com,+33 1 44 44 22 22,Orange 78 Rue Olivier de Serres 75015 Paris France
Le Petit Ballon,lepetitballon.com,33 1 58 56 60 80,43 Rue du Rocher,75008,Paris,France,Le Petit Ballon 43 Rue du Rocher 75008 Paris France,lepetitballon.com,33 1 58 56 60 80,Le Petit Ballon 43 Rue du Rocher 75008 Paris France
LiveMentor,livementor.com,33 1 84 17 03 57,24 Rue de Condé,75006,Paris,France,LiveMentor 24 Rue de Condé 75006 Paris France,livementor.com,33 1 84 17 03 57,LiveMentor 24 Rue de Condé 75006 Paris France
ONIAM,oniam.fr,,TOUR GALLIENI 2,93170,BAGNOLET,France,ONIAM TOUR GALLIENI 2 93170 BAGNOLET France,oniam.fr,,ONIAM TOUR GALLIENI 2 93170 BAGNOLET France
Busy.org,busy.org,,,,,,Busy.org    ,busy.org,,Busy.org    
ISCOM,iscom.fr,+33 3 28 36 16 10,4 Cité de Londres,75009,Paris,France,ISCOM 4 Cité de Londres 75009 Paris France,iscom.fr,+33 3 28 36 16 10,ISCOM 4 Cité de Londres 75009 Paris France
Kolibree,kolibree.com,33 1 47 38 73 90,1 Rue Charcot,92200,Neuilly-sur-Seine,France,Kolibree 1 Rue Charcot 92200 Neuilly-sur-Seine France,kolibree.com,33 1 47 38 73 90,Kolibree 1 Rue Charcot 92200 Neuilly-sur-Seine France
SATT Nord,sattnord.fr,+33 3 28 36 04 68,2 Rue du Priez,59800,Lille,France,SATT Nord 2 Rue du Priez 59800 Lille France,sattnord.fr,+33 3 28 36 04 68,SATT Nord 2 Rue du Priez 59800 Lille France
Lunchr,lunchr.fr,33 9 77 55 83 76,"CAP OMEGA, ROND POINT BENJAMIN FRANKLIN",94103,MONTPELLIER,France,"Lunchr CAP OMEGA, ROND POINT BENJAMIN FRANKLIN 94103 MONTPELLIER France",lunchr.fr,33 9 77 55 83 76,"Lunchr CAP OMEGA, ROND POINT BENJAMIN FRANKLIN 94103 MONTPELLIER France"
Oscaro,oscaro.com,33 1 41 47 51 51,34 Avenue des Champs-Élysées,75008,Paris,France,Oscaro 34 Avenue des Champs-Élysées 75008 Paris France,oscaro.com,//01 76 49 49 49,Oscaro 34 Avenue des Champs-Élysées 75008 Paris France
Oscaro,oscaro.com,33 1 41 47 51 51,34 Avenue des Champs-Élysées,75008,Paris,France,Oscaro 34 Avenue des Champs-Élysées 75008 Paris France,oscaro.com,33 1 41 47 51 51,Oscaro 34 Avenue des Champs-Élysées 75008 Paris France
Heetch,heetch.com,33 7 83 43 89 46,71 R SAINT-LOUIS EN L'ILE,75004,Paris,France,Heetch 71 R SAINT-LOUIS EN L'ILE 75004 Paris France,heetch.com,33 7 83 43 89 46,Heetch 71 R SAINT-LOUIS EN L'ILE 75004 Paris France
La Réunion Aérienne,la-reunion-aerienne.com,33 1 43 18 46 00,134 Rue Danton,75009,Levallois-Perret,France,La Réunion Aérienne 134 Rue Danton 75009 Levallois-Perret France,la-reunion-aerienne.com,33 1 43 18 46 00,La Réunion Aérienne 134 Rue Danton 75009 Levallois-Perret France
Dba,fr-dba.com,+33 1 42 44 21 00,36 RUE DU LOUVRE,75001,Paris,France,Dba 36 RUE DU LOUVRE 75001 Paris France,fr-dba.com,+33 1 42 44 21 00,Dba 36 RUE DU LOUVRE 75001 Paris France
Conexance,conexancemd.com,33 3 28 04 74 40,28 Place de la Gare,59800,Lille,France,Conexance 28 Place de la Gare 59800 Lille France,conexancemd.com,33 3 28 04 74 40,Conexance 28 Place de la Gare 59800 Lille France
QuiToque,quitoque.fr,33 1 58 80 80 20,26 RUE NOTRE DAME DE NAZARETH,75003,Paris,France,QuiToque 26 RUE NOTRE DAME DE NAZARETH 75003 Paris France,quitoque.fr,33 1 58 80 80 20,QuiToque 26 RUE NOTRE DAME DE NAZARETH 75003 Paris France
Golden Bees,goldenbees.fr,,64 Rue Rambuteau,75008,Paris,France,Golden Bees 64 Rue Rambuteau 75008 Paris France,goldenbees.fr,,Golden Bees 64 Rue Rambuteau 75008 Paris France
ISAI Gestion,isai.fr,,10 Bis Avenue De La Grande Armee,75017,Paris-l'hopital,France,ISAI Gestion 10 Bis Avenue De La Grande Armee 75017 Paris-l'hopital France,isai.fr,,ISAI Gestion 10 Bis Avenue De La Grande Armee 75017 Paris-l'hopital France
Blue Data Technologies,bluedata-technologies.com,,,,,,Blue Data Technologies    ,bluedata-technologies.com,,Blue Data Technologies    
Swaven,swaven.com,,71 Rue du Faubourg Saint-Martin,75010,Paris,France,Swaven 71 Rue du Faubourg Saint-Martin 75010 Paris France,swaven.com,,Swaven 71 Rue du Faubourg Saint-Martin 75010 Paris France
Swaven,swaven.com,,71 Rue du Faubourg Saint-Martin,75010,Paris,France,Swaven 71 Rue du Faubourg Saint-Martin 75010 Paris France,swaven.com,(0) 6.74.30.53.90,Swaven 71 Rue du Faubourg Saint-Martin 75010 Paris France
TRUSK,trusk.com,,"85, RUE VANEAU",75007,PARIS,France,"TRUSK 85, RUE VANEAU 75007 PARIS France",Trusk.com,,"TRUSK 85, RUE VANEAU 75007 PARIS France"
JPB SYSTEME,jpb-systeme.com,+33 1 64 79 71 20,CHEMIN DU BASSIN,77950,Montereau Sur Le Jard,France,JPB SYSTEME CHEMIN DU BASSIN 77950 Montereau Sur Le Jard France,jpb-systeme.com,+33 1 64 79 71 20,JPB SYSTEME CHEMIN DU BASSIN 77950 Montereau Sur Le Jard France
Mister Bell,misterbell.com,33 1 80 18 28 42,101 Avenue of the Americas,75017,Paris,France,Mister Bell 101 Avenue of the Americas 75017 Paris France,misterbell.com,33 1 80 18 28 42,Mister Bell 101 Avenue of the Americas 75017 Paris France
MYTRAFFIC,mytraffic.fr,,,,Paris,France,MYTRAFFIC   Paris France,mytraffic.fr,,MYTRAFFIC   Paris France
Praxedo,praxedo.com,,80 Rue Taitbout,75009,Paris,France,Praxedo 80 Rue Taitbout 75009 Paris France,praxedo.com,+33 1 40 33 79 79,Praxedo 80 Rue Taitbout 75009 Paris France
Pierre-Yves Rochon,pyr-design.com,,400-410 North Michigan Avenue,60611,Chicago,United States,Pierre-Yves Rochon 400-410 North Michigan Avenue 60611 Chicago United States,pyr-design.com,,Pierre-Yves Rochon 400-410 North Michigan Avenue 60611 Chicago United States
QWAM CI,qwamci.com,33 1 44 69 59 20,22 Rue Chauchat,75009,Paris,France,QWAM CI 22 Rue Chauchat 75009 Paris France,qwamci.com,33 1 44 69 59 20,QWAM CI 22 Rue Chauchat 75009 Paris France
Arkose,arkose.com,+33 1 49 88 45 07,33 Rue du Progrès,93100,Montreuil,France,Arkose 33 Rue du Progrès 93100 Montreuil France,arkose.com,+33 1 49 88 45 07,Arkose 33 Rue du Progrès 93100 Montreuil France
Arkose,arkose.com,33 1 49 88 45 07,33 Rue du Progrès,93100,Montreuil,France,Arkose 33 Rue du Progrès 93100 Montreuil France,arkose.com,+33 1 49 88 45 07,Arkose 33 Rue du Progrès 93100 Montreuil France
Made in Surveys,madeinsurveys.com,,19 rue de Mogador,N7 9DP,London,United Kingdom,Made in Surveys 19 rue de Mogador N7 9DP London United Kingdom,madeinsurveys.com,,Made in Surveys 19 rue de Mogador N7 9DP London United Kingdom
Potion.social,potion.social,,165 Avenue de Bretagne,59000,Lille,France,Potion.social 165 Avenue de Bretagne 59000 Lille France,potion.social,,Potion.social 165 Avenue de Bretagne 59000 Lille France
GRENADE & SPARKS,grenade-sparks.com,33 1 40 81 01 10,103 Quai du Docteur Dervaux,92600,Asnières-sur-Seine,France,GRENADE & SPARKS 103 Quai du Docteur Dervaux 92600 Asnières-sur-Seine France,grenade-sparks.com,+33 1 40 81 01 10,GRENADE & SPARKS 103 Quai du Docteur Dervaux 92600 Asnières-sur-Seine France
Bird Office,bird-office.com,33 1 85 08 51 20,32 Rue Jouffroy d'Abbans,75008,Paris,France,Bird Office 32 Rue Jouffroy d'Abbans 75008 Paris France,bird-office.com,33 1 85 08 51 20,Bird Office 32 Rue Jouffroy d'Abbans 75008 Paris France
OPAL-RT TECHNOLOGIES,opal-rt.com,+1 514-935-2323,1751 Rue Richardson,H3K 1G6,Montréal,Canada,OPAL-RT TECHNOLOGIES 1751 Rue Richardson H3K 1G6 Montréal Canada,opal-rt.com,+1 514-935-2323,OPAL-RT TECHNOLOGIES 1751 Rue Richardson H3K 1G6 Montréal Canada
CLEARNOX,clearnox.com,,77 Avenue de la République,75011,Paris,France,CLEARNOX 77 Avenue de la République 75011 Paris France,clearnox.com,,CLEARNOX 77 Avenue de la République 75011 Paris France
m4x.org,m4x.org,,,,,France,m4x.org    France,m4x.org,,m4x.org    France
Warning Up,warningup.com,+33 1 53 85 88 00,86 Rue de Lille,75007,Paris,France,Warning Up 86 Rue de Lille 75007 Paris France,warningup.com,+33 1 53 85 88 00,Warning Up 86 Rue de Lille 75007 Paris France
Marcel,marcel.cab,(212) 696-3800,35 Rue Notre Dame de Lorette,75009,Paris,France,Marcel 35 Rue Notre Dame de Lorette 75009 Paris France,marcel.cab,(212) 696-3800,Marcel 35 Rue Notre Dame de Lorette 75009 Paris France
Marcel,marcel.cab,33 8 92 97 63 08,35 Rue Notre Dame de Lorette,75009,Paris,France,Marcel 35 Rue Notre Dame de Lorette 75009 Paris France,marcel.cab,(212) 696-3800,Marcel 35 Rue Notre Dame de Lorette 75009 Paris France
IFTH,ifth.org,+33 1 44 08 19 00,,75013,,France,IFTH  75013  France,ifth.org,+33 1 44 08 19 00,IFTH  75013  France
Next Level Formation,nextlevelformation.fr,+33 1 84 16 19 80,35 Rue Danton,92300,Levallois-Perret,France,Next Level Formation 35 Rue Danton 92300 Levallois-Perret France,nextlevelformation.fr,+33 1 84 16 19 80,Next Level Formation 35 Rue Danton 92300 Levallois-Perret France
EIM Executive Interim Management,eim.com,44 2072 901 430,39 Saint James's Street,SW1A 1JD,London,United Kingdom,EIM Executive Interim Management 39 Saint James's Street SW1A 1JD London United Kingdom,eim.com,44 2072 901 430,EIM Executive Interim Management 39 Saint James's Street SW1A 1JD London United Kingdom
IRT Railenium,railenium.eu,,ESPACE TECHNOPOLE LE MONT HOUY,59300,Aulnoy-Lez-Valenciennes,France,IRT Railenium ESPACE TECHNOPOLE LE MONT HOUY 59300 Aulnoy-Lez-Valenciennes France,railenium.eu,,IRT Railenium ESPACE TECHNOPOLE LE MONT HOUY 59300 Aulnoy-Lez-Valenciennes France
ubudu,ubudu.com,+33 1 40 40 74 72,20 Rue du Mont-Cenis,75018,Paris,France,ubudu 20 Rue du Mont-Cenis 75018 Paris France,ubudu.com,+33 1 40 40 74 72,ubudu 20 Rue du Mont-Cenis 75018 Paris France
Place des Tendances,placedestendances.com,33 8 10 00 50 55,102 Rue de Provence,75009,Paris,France,Place des Tendances 102 Rue de Provence 75009 Paris France,placedestendances.com,33 8 10 00 50 55,Place des Tendances 102 Rue de Provence 75009 Paris France
"Speaken, l'anglais dans la poche,24/7.",speaken.com,,40 Avenue de Suffren,75015,Paris,France,"Speaken, l'anglais dans la poche,24/7. 40 Avenue de Suffren 75015 Paris France",speaken.com,,"Speaken, l'anglais dans la poche,24/7. 40 Avenue de Suffren 75015 Paris France"
Corporama,corporama.com,33 155252460,1 Rue du 1er Mai,28037,Nanterre,France,Corporama 1 Rue du 1er Mai 28037 Nanterre France,corporama.com,33 155252460,Corporama 1 Rue du 1er Mai 28037 Nanterre France
ESIEA,esiea.fr,+33 1 43 90 77 08,74 Avenue Maurice Thorez,75005,Paris,France,ESIEA 74 Avenue Maurice Thorez 75005 Paris France,esiea.fr,+33 1 43 90 77 08,ESIEA 74 Avenue Maurice Thorez 75005 Paris France
Lyf Pay,lyf.eu,+33 9 81 86 41 81,,75001,Paris,France,Lyf Pay  75001 Paris France,lyf.eu,+33 9 81 86 41 81,Lyf Pay  75001 Paris France
biin — bureau d'idées nouvelles,biin.fr,+33 4 81 91 61 51,36 Rue Emile Decorps,69100,Villeurbanne,France,biin — bureau d'idées nouvelles 36 Rue Emile Decorps 69100 Villeurbanne France,biin.fr,+33 4 81 91 61 51,biin — bureau d'idées nouvelles 36 Rue Emile Decorps 69100 Villeurbanne France
Bergamotte,bergamotte.com,33 1 76 35 01 10,11 Rue de Belzunce,75010,Paris,France,Bergamotte 11 Rue de Belzunce 75010 Paris France,bergamotte.com,33 1 76 35 01 10,Bergamotte 11 Rue de Belzunce 75010 Paris France
Influence4You,influence4you.fr,33 1 80 88 41 21,47 Avenue de l'Europe,92400,Courbevoie,France,Influence4You 47 Avenue de l'Europe 92400 Courbevoie France,influence4you.fr,33 1 80 88 41 21,Influence4You 47 Avenue de l'Europe 92400 Courbevoie France
Intersec,intersec.com,,79 Madison Avenue,92085,New York,United States,Intersec 79 Madison Avenue 92085 New York United States,intersec.com,,Intersec 79 Madison Avenue 92085 New York United States
Awelty,awelty.fr,+33 3 22 80 89 38,19 Rue Lamartine,80000,Amiens,France,Awelty 19 Rue Lamartine 80000 Amiens France,awelty.fr,+33 3 22 80 89 38,Awelty 19 Rue Lamartine 80000 Amiens France
Josiane,josianefaitdelapub.com,,,,,,Josiane    ,josianefaitdelapub.com,,Josiane    
U Pro,u-pro.fr,+33 1 41 34 20 23,25 Rue Notre Dame des Victoires,75002,Paris,France,U Pro 25 Rue Notre Dame des Victoires 75002 Paris France,u-pro.fr,+33 1 41 34 20 23,U Pro 25 Rue Notre Dame des Victoires 75002 Paris France
L'Art en direct,art-en-direct.fr,+33 1 55 35 25 10,24 Rue de Richelieu,75001,Paris,France,L'Art en direct 24 Rue de Richelieu 75001 Paris France,art-en-direct.fr,+33 1 55 35 25 10,L'Art en direct 24 Rue de Richelieu 75001 Paris France
Mazeberry,mazeberry.com,+33 3 66 72 80 24,40 Rue de l'Abbé Lemire,59110,La Madeleine,France,Mazeberry 40 Rue de l'Abbé Lemire 59110 La Madeleine France,mazeberry.com,+33 3 66 72 80 24,Mazeberry 40 Rue de l'Abbé Lemire 59110 La Madeleine France
L'Exception,lexception.com,33144619026,24 Rue Berger,75010,Paris,France,L'Exception 24 Rue Berger 75010 Paris France,lexception.com,33144619026,L'Exception 24 Rue Berger 75010 Paris France
Unow,unow.fr,,23 Rue de Cléry,20119,Paris,France,Unow 23 Rue de Cléry 20119 Paris France,unow.fr,,Unow 23 Rue de Cléry 20119 Paris France
My Media,mymedia.fr,33 1 70 98 98 00,68 Rue Marjolin,92300,Levallois-Perret,France,My Media 68 Rue Marjolin 92300 Levallois-Perret France,mymedia.fr,+33 1 70 98 98 00,My Media 68 Rue Marjolin 92300 Levallois-Perret France
Advent Group,adventgroup.net,,"103, RUE LAFAYETTE",75010,Paris,France,"Advent Group 103, RUE LAFAYETTE 75010 Paris France",adventgroup.net,,"Advent Group 103, RUE LAFAYETTE 75010 Paris France"
THEPHOTOACADEMY.com,thephotoacademy.com,(094) 245-1758,19 Quai de la Seine,75019,Paris,France,THEPHOTOACADEMY.com 19 Quai de la Seine 75019 Paris France,thephotoacademy.com,(094) 245-1758,THEPHOTOACADEMY.com 19 Quai de la Seine 75019 Paris France
Cirruseo,cirruseo.com,,34 Rue Godot de Mauroy,75009,Paris,France,Cirruseo 34 Rue Godot de Mauroy 75009 Paris France,cirruseo.com,,Cirruseo 34 Rue Godot de Mauroy 75009 Paris France
360Learning,360learning.com,33 1 53 63 11 84,117 Rue de la Tour,75008,Paris,France,360Learning 117 Rue de la Tour 75008 Paris France,360learning.com,33 1 53 63 11 84,360Learning 117 Rue de la Tour 75008 Paris France
Antidox,antidox.fr,+33 9 82 34 89 62,18 Rue Volney,75009,Paris,France,Antidox 18 Rue Volney 75009 Paris France,antidox.fr,+33 9 82 34 89 62,Antidox 18 Rue Volney 75009 Paris France
ReachFive,reachfive.co,+33 1 76 44 06 01,33 Rue la Fayette,75009,Paris,France,ReachFive 33 Rue la Fayette 75009 Paris France,reachfive.co,+33 1 76 44 06 01,ReachFive 33 Rue la Fayette 75009 Paris France
Archibald & Abraham,archibald-abraham.com,+33 1 83 62 94 82,39 Rue des Bourdonnais,75001,Paris,France,Archibald & Abraham 39 Rue des Bourdonnais 75001 Paris France,archibald-abraham.com,+33 1 83 62 94 82,Archibald & Abraham 39 Rue des Bourdonnais 75001 Paris France
Sun'R Spas,sunr.fr,33 1 53 81 03 15,7 RUE DE CLICHY,75009,Paris,France,Sun'R Spas 7 RUE DE CLICHY 75009 Paris France,sunr.fr,33 1 53 81 03 15,Sun'R Spas 7 RUE DE CLICHY 75009 Paris France
hckrs.io,hckrs.io,,,,,France,hckrs.io    France,hckrs.io,,hckrs.io    France
CoSpirit MediaTrack,cospirit.com,33 1 56 03 55 55,19 Rue Martel,75010,Paris,France,CoSpirit MediaTrack 19 Rue Martel 75010 Paris France,cospirit.com,33 1 56 03 55 55,CoSpirit MediaTrack 19 Rue Martel 75010 Paris France
1913 Telecom,1913.fr,+33 800 00 19 13,170 Rue Raymond Losserand,75014,Paris,France,1913 Telecom 170 Rue Raymond Losserand 75014 Paris France,1913.fr,+33 800 00 19 13,1913 Telecom 170 Rue Raymond Losserand 75014 Paris France
BFT Investment Managers,bft-im.com,,90 Boulevard Pasteur,75015,Paris,France,BFT Investment Managers 90 Boulevard Pasteur 75015 Paris France,bft-im.com,,BFT Investment Managers 90 Boulevard Pasteur 75015 Paris France
GOWIZYOU,gowizyou.com,+33 1 83 62 62 90,5 Rue de Courtalin,77700,Magny-le-Hongre,France,GOWIZYOU 5 Rue de Courtalin 77700 Magny-le-Hongre France,gowizyou.com,+33 1 83 62 62 90,GOWIZYOU 5 Rue de Courtalin 77700 Magny-le-Hongre France
OurCo,ourcompanyapp.com,+33 1 70 37 76 61,55 Boulevard Vincent Auriol,75013,Paris,France,OurCo 55 Boulevard Vincent Auriol 75013 Paris France,ourcompanyapp.com,+33 1 70 37 76 61,OurCo 55 Boulevard Vincent Auriol 75013 Paris France
June Partners,june-partners.com,33 1 84 17 64 55,4 Rue Édouard VII,75009,Paris,France,June Partners 4 Rue Édouard VII 75009 Paris France,june-partners.com,33 1 84 17 64 55,June Partners 4 Rue Édouard VII 75009 Paris France
DotEmu,dotemu.com,33 1 53 17 64 24,8 Passage Brûlon,75009,Paris,France,DotEmu 8 Passage Brûlon 75009 Paris France,dotemu.com,+33 1 53 17 64 24,DotEmu 8 Passage Brûlon 75009 Paris France
Foodles,foodles.co,,22B Rue Dagobert,92110,Clichy,France,Foodles 22B Rue Dagobert 92110 Clichy France,foodles.co,,Foodles 22B Rue Dagobert 92110 Clichy France
Coefficy,coefficy.com,+33 2 77 41 80 75,72 Rue de la République,76140,Le Petit-Quevilly,France,Coefficy 72 Rue de la République 76140 Le Petit-Quevilly France,coefficy.com,+33 2 77 41 80 75,Coefficy 72 Rue de la République 76140 Le Petit-Quevilly France
Vinci Technologies SA,vinci-technologies.com,33 1 41 37 92 20,27 Rue du Port,92000,Nanterre,France,Vinci Technologies SA 27 Rue du Port 92000 Nanterre France,vinci-technologies.com,33 1 41 37 92 20,Vinci Technologies SA 27 Rue du Port 92000 Nanterre France
Zen'to,zento.fr,+33 1 80 88 49 00,92 Rue Anatole France,92300,Levallois-Perret,France,Zen'to 92 Rue Anatole France 92300 Levallois-Perret France,zento.fr,+33 1 80 88 49 00,Zen'to 92 Rue Anatole France 92300 Levallois-Perret France
Finamic Services,finamic.ch,,,,,Switzerland,Finamic Services    Switzerland,finamic.ch,,Finamic Services    Switzerland
Wamiz,wamiz.com,33 9 72 30 66 01,177 Rue du Temple,75003,Paris,France,Wamiz 177 Rue du Temple 75003 Paris France,wamiz.com,33 9 72 30 66 01,Wamiz 177 Rue du Temple 75003 Paris France
Avangarde,avangarde.co,,,,,,Avangarde    ,avangarde.co,,Avangarde    
OpenIP,openip.fr,33 1 76 71 05 00,37 Rue de Neuilly,92110,Clichy,France,OpenIP 37 Rue de Neuilly 92110 Clichy France,openip.fr,33 1 76 71 05 00,OpenIP 37 Rue de Neuilly 92110 Clichy France
WeFix,wefix.net,+33 1 84 79 29 47,3 Allée du Préambule,33900,Lieusaint,France,WeFix 3 Allée du Préambule 33900 Lieusaint France,wefix.net,+33 1 84 79 29 47,WeFix 3 Allée du Préambule 33900 Lieusaint France
Paylogic International,paylogic.com,31 88 700 0100,28 Nieuwe Boteringestraat,9712PM,Groningen,Netherlands,Paylogic International 28 Nieuwe Boteringestraat 9712PM Groningen Netherlands,paylogic.com,31 88 700 0100,Paylogic International 28 Nieuwe Boteringestraat 9712PM Groningen Netherlands
Welcome Media,arthur-media.com,+33 1 82 83 53 20,,75116,,France,Welcome Media  75116  France,arthur-media.com,+33 1 82 83 53 20,Welcome Media  75116  France
Indiana Capital,indiana-capital.com,,,,,,Indiana Capital    ,indiana-capital.com,,Indiana Capital    
MAILEVA,maileva.com,+33810802801,10 avenue Charles de Gaulle,94220,Charenton-le-Pont,France,MAILEVA 10 avenue Charles de Gaulle 94220 Charenton-le-Pont France,maileva.com,+33810802801,MAILEVA 10 avenue Charles de Gaulle 94220 Charenton-le-Pont France
MAILEVA,maileva.com,+33 810 80 28 01,10 avenue Charles de Gaulle,94220,Charenton-le-Pont,France,MAILEVA 10 avenue Charles de Gaulle 94220 Charenton-le-Pont France,maileva.com,+33810802801,MAILEVA 10 avenue Charles de Gaulle 94220 Charenton-le-Pont France
Souffl,souffl.com,+33 1 42 60 27 19,157 Boulevard Macdonald,75019,Paris-19E-Arrondissement,France,Souffl 157 Boulevard Macdonald 75019 Paris-19E-Arrondissement France,souffl.com,+33 1 42 60 27 19,Souffl 157 Boulevard Macdonald 75019 Paris-19E-Arrondissement France
Captain Dash,captaindash.com,,44 Rue Notre Dame des Victoires,75002,Paris,France,Captain Dash 44 Rue Notre Dame des Victoires 75002 Paris France,captaindash.com,,Captain Dash 44 Rue Notre Dame des Victoires 75002 Paris France
Sea TPI,seatpi.com,33 4 42 98 11 30,180 VOIE ARIANNE ZONE AHTELIA I,13600,La Ciotat,France,Sea TPI 180 VOIE ARIANNE ZONE AHTELIA I 13600 La Ciotat France,seatpi.com,33 4 42 98 11 30,Sea TPI 180 VOIE ARIANNE ZONE AHTELIA I 13600 La Ciotat France
Roth France,roth-france.fr,,78 Rue Ampère,14428,Lagny-sur-Marne,France,Roth France 78 Rue Ampère 14428 Lagny-sur-Marne France,roth-france.fr,,Roth France 78 Rue Ampère 14428 Lagny-sur-Marne France
Wipro,wipro.com,,Survey #76P & #80P Doddakanahalli Villag,560035,Bangalore,India,Wipro Survey #76P & #80P Doddakanahalli Villag 560035 Bangalore India,wipro.com,,Wipro Survey #76P & #80P Doddakanahalli Villag 560035 Bangalore India
GRDF,grdf.fr,33 9 69 36 35 34,6 Rue Condorcet,75009,Paris,France,GRDF 6 Rue Condorcet 75009 Paris France,grdf.fr,33 9 69 36 35 34,GRDF 6 Rue Condorcet 75009 Paris France
ATR Aircraft,atr-aircraft.com,+33 5 62 21 67 47,1 Allée Pierre Nadot,31712,Blagnac,France,ATR Aircraft 1 Allée Pierre Nadot 31712 Blagnac France,atr-aircraft.com,+33 5 62 21 67 47,ATR Aircraft 1 Allée Pierre Nadot 31712 Blagnac France
Crdit Agricole Nord de France,ca-norddefrance.fr,+33 9 69 39 92 91,"Lille, Hauts-de-France, France",59020,Lille,France,"Crdit Agricole Nord de France Lille, Hauts-de-France, France 59020 Lille France",ca-norddefrance.fr,+33 9 69 39 92 91,"Crdit Agricole Nord de France Lille, Hauts-de-France, France 59020 Lille France"
IKKS,,,,,,,IKKS    ,http://www.ikks.com/fr,,IKKS    
IKKS,http://ikks.com,,,,,,IKKS    ,http://www.ikks.com/fr,,IKKS    
Awilco Drilling PLC,awilcodrilling.com,+44 12 2473 7900,"UNIT 2, KINGSHILL PARK, VENTURE DR",AB32 6FL,WESTHILL AB32,United Kingdom,"Awilco Drilling PLC UNIT 2, KINGSHILL PARK, VENTURE DR AB32 6FL WESTHILL AB32 United Kingdom",awilcodrilling.com,+44 12 2473 7900,"Awilco Drilling PLC UNIT 2, KINGSHILL PARK, VENTURE DR AB32 6FL WESTHILL AB32 United Kingdom"
Mears Group PLC,mearsgroup.co.uk,+44 1453 511911,1390 Montpelier CT,GL3 4AH,Gloucester,United Kingdom,Mears Group PLC 1390 Montpelier CT GL3 4AH Gloucester United Kingdom,mearsgroup.co.uk,+44 1453 511911,Mears Group PLC 1390 Montpelier CT GL3 4AH Gloucester United Kingdom
CSC,csc.com,703-876-1000,1775 Tysons Boulevard,22102,McLean,United States,CSC 1775 Tysons Boulevard 22102 McLean United States,csc.com,703-876-1000,CSC 1775 Tysons Boulevard 22102 McLean United States
Lemonway,lemonway.com,33 1 48 57 03 15,14 Rue de la Beaune,93100,Montreuil,France,Lemonway 14 Rue de la Beaune 93100 Montreuil France,lemonway.com,33 1 48 57 03 15,Lemonway 14 Rue de la Beaune 93100 Montreuil France
zenlap,zenlap.com,,,,,France,zenlap    France,zenlap.com,,zenlap    France
Alven,alvencapital.com,33155343838,1 Place André Malraux,75001,Paris-1ER-Arrondissement,France,Alven 1 Place André Malraux 75001 Paris-1ER-Arrondissement France,alvencapital.com,33155343838,Alven 1 Place André Malraux 75001 Paris-1ER-Arrondissement France
Babilou,creche-kidscool.fr,+33 1 84 16 49 63,24 Rue du Moulin des Bruyères,75011,Courbevoie,France,Babilou 24 Rue du Moulin des Bruyères 75011 Courbevoie France,creche-kidscool.fr,+33 1 84 16 49 63,Babilou 24 Rue du Moulin des Bruyères 75011 Courbevoie France
